ranking,Youtuber,subscribers,category,channel_type,video_views,Title,Country,video_views_for_the_last_30_days,highest_yearly_earnings,lowest_yearly_earnings,subscribers_for_last_30_days,Population,Latitude,Longitude,date_created,Urban_population
83,WorkpointOfficial,39000000,Entertainment,Entertainment,36131228583,WorkpointOfficial,Thailand,130461000,6300000,391400,200000,69625582,15.870032,100.992541,2012-11-05,35294600
84,"GR6 EXPLODE",38900000,Music,Music,25154232306,"GR6 EXPLODE",Brazil,1635000000,78500000,4900000,100000,212559417,-14.235004,-51.92528,2014-08-05,183241641
85,"TEDx Talks",38600000,"Nonprofits & Activism",Nonprofit,7339333120,"TEDx Talks","United States",45638000,2200000,136900,100000,328239523,37.09024,-95.712891,2009-06-23,270663028
86,shfa,38400000,"People & Blogs",Games,21528116909,,"Saudi Arabia",1589000,76300,4800,2000,34268528,23.885942,45.079162,2018-05-24,28807838
87,"Goldmines Gaane Sune Ansune",38300000,Music,Music,16718192386,"Goldmines Gaane Sune Ansune",India,814756000,39100000,2400000,400000,1366417754,20.593684,78.96288,2015-08-24,471031528
88,"One Direction",38200000,Music,Music,13598903820,"21 Savage","United States",6348,305,19,100,328239523,37.09024,-95.712891,2016-06-26,270663028
89,TheEllenShow,38200000,Entertainment,Entertainment,22756581750,TheEllenShow,"United States",21804000,1000000,65400,nan,328239523,37.09024,-95.712891,2006-11-21,270663028
90,"Sony PAL",38200000,Shows,Entertainment,28519339489,"Sony PAL",India,415914000,20000000,1200000,500000,1366417754,20.593684,78.96288,2014-05-09,471031528
91,"Daddy Yankee",38000000,Music,Music,22731415608,"Daddy Yankee","United States",205594000,9900000,616800,100000,328239523,37.09024,-95.712891,2011-05-16,270663028
92,"Vlad v    ",37900000,nan,Entertainment,23510152352,"Vlad v    ","United States",244093000,11700000,732300,200000,328239523,37.09024,-95.712891,2018-07-20,270663028
93,"Like Nastya ESP",37600000,Entertainment,Entertainment,18208196857,"Like Nastya ESP","United States",321026000,15400000,963100,700000,328239523,37.09024,-95.712891,2017-04-22,270663028
94,one31,37500000,Entertainment,Entertainment,27262462114,one31,Thailand,140754000,6800000,422300,300000,69625582,15.870032,100.992541,2013-01-10,35294600
95,"Jkk Entertainment",37200000,Comedy,Comedy,16402066717,"Jkk Entertainment",India,49861000,2400000,149600,100000,1366417754,20.593684,78.96288,2017-03-20,471031528
96,"ABP NEWS",37000000,"People & Blogs",News,13102611515,"ABP NEWS",India,267060000,12800000,801200,400000,1366417754,20.593684,78.96288,2012-06-01,471031528
97,"Maria Clara & JP",37000000,"People & Blogs",Entertainment,24188861917,"Maria Clara & JP",Brazil,251449000,12100000,754300,300000,212559417,-14.235004,-51.92528,2015-09-06,183241641
98,"Bruno Mars",36700000,Music,Music,19378155425,"Bruno Mars","United States",175243000,8400000,525700,200000,328239523,37.09024,-95.712891,2006-09-19,270663028
99,"Maroon 5",36600000,Music,Music,22553923546,"Maroon 5","United States",152825000,7300000,458500,nan,328239523,37.09024,-95.712891,2006-03-09,270663028
100,"Ultra Bollywood",36600000,Trailers,Entertainment,15653786446,"Ultra Bollywood",India,131462000,0,0,200000,1366417754,20.593684,78.96288,2009-10-21,471031528
102,YouTube,36300000,"News & Politics",Entertainment,3010784935,YouTube,"United States",21103000,1000000,63300,300000,328239523,37.09024,-95.712891,1970-01-01,270663028
106,"La Granja de Zen",35700000,Music,Music,27118354077,"La Granja de Zen",Argentina,302071000,14500000,906200,400000,44938712,-38.416097,-63.616672,2013-06-06,41339571
107,"Saregama Music",35500000,Entertainment,Music,15657673422,"Saregama Music",India,533793000,25600000,1600000,900000,1366417754,20.593684,78.96288,2013-01-04,471031528
108,IndiaTV,35500000,"News & Politics",News,16105023749,IndiaTV,India,290847000,14000000,872500,600000,1366417754,20.593684,78.96288,2006-08-26,471031528
109,"T-Series Bollywood Classics",35400000,Music,Music,22637783517,"T-Series Bollywood Classics",India,331474000,15900000,994400,500000,1366417754,20.593684,78.96288,2012-04-02,471031528
111,Markiplier,35200000,Gaming,Games,20297931219,Markiplier,"United States",127329000,6100000,382000,100000,328239523,37.09024,-95.712891,2012-05-26,270663028
112,"Ryan's World",35200000,Entertainment,Entertainment,55299840198,"Ryan's World","United States",238613000,11500000,715800,200000,328239523,37.09024,-95.712891,2015-03-17,270663028
113,"Genevieve's Playhouse - Learning Videos for Kids",34900000,Education,Film,25607397308,"Genevieve's Playhouse - Learning Videos for","United States",335307000,16100000,1000000,300000,328239523,37.09024,-95.712891,2016-01-06,270663028
116,"Geet MP3",34300000,Music,Music,12746535822,"Geet MP3",India,101357000,4900000,304100,100000,1366417754,20.593684,78.96288,2016-10-22,471031528
117,"J Balvin",34100000,Music,Music,23005313609,"J Balvin",Colombia,128696000,6200000,386100,100000,50339443,4.570868,-74.297333,2011-02-18,40827302
118,"Jess No Limit",34000000,Entertainment,Entertainment,3963007415,"Jess No Limit",Indonesia,547141000,26300000,1600000,5500000,270203917,-0.789275,113.921327,2017-09-07,151509724
119,"Jingle Toons",34000000,"Film & Animation",Film,11351015824,"Jingle Toons",India,179903000,8600000,539700,600000,1366417754,20.593684,78.96288,2013-01-24,471031528
120,VEGETTA777,33800000,Gaming,Games,15432929204,VEGETTA777,Spain,39094000,1900000,117300,nan,47076781,40.463667,-3.74922,2008-03-02,37927409
121,"Galinha Pintadinha",33800000,"Film & Animation",Film,27274550757,"Galinha Pintadinha",Brazil,403508000,19400000,1200000,200000,212559417,-14.235004,-51.92528,2006-08-30,183241641
122,SSSniperWolf,33700000,Gaming,Entertainment,23492684419,SSSniperWolf,"United States",210955000,10100000,632900,200000,328239523,37.09024,-95.712891,2013-01-20,270663028
124,"Selena Gomez",33600000,"Film & Animation",Music,13013567335,"Selena Gomez","United States",115792000,5600000,347400,200000,328239523,37.09024,-95.712891,2008-02-08,270663028
125,Rajshri,33500000,Music,Entertainment,14864294792,Rajshri,India,272255000,13100000,816800,500000,1366417754,20.593684,78.96288,2006-03-24,471031528
126,Ch3Thailand,33500000,Entertainment,Entertainment,29611914495,Ch3Thailand,Thailand,61307000,0,0,100000,69625582,15.870032,100.992541,2014-05-29,35294600
127,"KHANDESHI MOVIES",33500000,Comedy,Comedy,11405809704,"KHANDESHI MOVIES",India,24736000,1200000,74200,100000,1366417754,20.593684,78.96288,2013-11-11,471031528
128,NoCopyrightSounds,33400000,Music,Music,10530729078,NoCopyrightSounds,"United Kingdom",55654000,2700000,167000,nan,66834405,55.378051,-3.435973,2011-08-14,55908316
129,"CVS 3D Rhymes & Kids Songs",33400000,Education,Education,20269857567,"CVS 3D Rhymes & Kids Songs",India,136084000,6500000,408300,200000,1366417754,20.593684,78.96288,2008-08-26,471031528
130,"Ricis Official",33300000,"People & Blogs",Entertainment,5994136760,"Ricis Official",Indonesia,157101000,7500000,471300,1900000,270203917,-0.789275,113.921327,2016-01-15,151509724
131,"BabyBus - Kids Songs and Cartoons",32800000,Education,Education,26355088167,"BabyBus - Kids Songs and Cartoons","United States",127498000,6100000,382500,200000,328239523,37.09024,-95.712891,2016-07-15,270663028
132,"Eros Now Music",32700000,Entertainment,Entertainment,17853798780,Mzaalo,India,20263000,972600,60800,40000,1366417754,20.593684,78.96288,2012-03-14,471031528
133,"BETER B",32700000,nan,Games,19180039918,"BETER B",Turkey,1463000000,70200000,4400000,2100000,83429615,38.963745,35.243322,2012-12-12,63097818
134,DisneyMusicVEVO,32700000,Music,Music,28516250629,DisneyMusicVEVO,"United States",329861000,15800000,989600,300000,328239523,37.09024,-95.712891,2010-05-20,270663028
135,"The Weeknd",32600000,Music,Music,23379969006,"The Weeknd",Canada,373828000,17900000,1100000,200000,36991981,56.130366,-106.346771,2011-02-25,30628482
137,"KAROL G",32100000,Music,Music,18699145555,"KAROL G",Colombia,465647000,22400000,1400000,300000,50339443,4.570868,-74.297333,2013-03-14,40827302
138,"Mr Bean",32100000,Shows,Comedy,10602236110,"Mr Bean","United Kingdom",56534000,2700000,169600,100000,66834405,55.378051,-3.435973,2006-01-04,55908316
139,rezendeevil,32100000,Gaming,Entertainment,13061739758,rezendeevil,Brazil,44505000,2100000,133500,nan,212559417,-14.235004,-51.92528,2012-02-12,183241641
140,StarPlus,32000000,Entertainment,Entertainment,26800674545,StarPlus,India,1667000000,80000000,5000000,1200000,1366417754,20.593684,78.96288,2006-05-19,471031528
142,"GMA  Network",31900000,Entertainment,Entertainment,19428308461,"GMA  Network",Philippines,798510000,38300000,2400000,500000,108116615,12.879721,121.774017,2006-11-20,50975903
143,GENIAL,31800000,"Howto & Style",Howto,6762424690,GENIAL,Mexico,31455000,1500000,94400,nan,126014024,23.634501,-102.552784,2017-06-01,102626859
144,"MR. INDIAN HACKER",31700000,"Science & Technology",Tech,5711208484,"MR. INDIAN HACKER",India,109125000,5200000,327400,500000,1366417754,20.593684,78.96288,2012-06-21,471031528
145,"Worldwide Records Bhojpuri",31700000,Music,Music,16476978876,"Worldwide Records Bhojpuri",India,112648000,5400000,337900,200000,1366417754,20.593684,78.96288,2012-03-15,471031528
146,DONA,31700000,Entertainment,Entertainment,21031745531,DONA,"United States",153280000,7400000,459800,200000,328239523,37.09024,-95.712891,2018-04-05,270663028
147,Dream,31700000,Gaming,Games,2930015381,Dream,"United States",27022000,1300000,81100,200000,328239523,37.09024,-95.712891,2014-02-08,270663028
148,"Lucas and Marcus",31600000,Entertainment,Entertainment,11615848291,"Lucas and Marcus","United States",312099000,15000000,936300,400000,328239523,37.09024,-95.712891,2011-01-19,270663028
149,JustinBieberVEVO,31600000,Music,Music,26583873105,JustinBieberVEVO,"United States",105126000,5000000,315400,nan,328239523,37.09024,-95.712891,2009-09-26,270663028
151,"Peppa Pig - Official Channel",31400000,"Film & Animation",Education,22919271731,"Peppa Pig - Official Channel","United Kingdom",244925000,11800000,734800,300000,66834405,55.378051,-3.435973,2013-10-09,55908316
152,"YOLO AVENTURAS",31200000,"People & Blogs",Comedy,9673649438,"YOLO AVENTURAS",Venezuela,3589,172,11,100,28515829,6.42375,-66.58973,2018-12-16,25162368
153,"The Tonight Show Starring Jimmy Fallon",31200000,Comedy,Comedy,17111726160,"The Tonight Show Starring Jimmy Fallon","United States",22511000,0,0,100000,328239523,37.09024,-95.712891,2006-01-08,270663028
154,TheDonato,31200000,Entertainment,Games,6187804950,TheDonato,Argentina,190679000,9200000,572000,1900000,44938712,-38.416097,-63.616672,2015-02-17,41339571
155,ImagineDragons,30700000,Music,Music,16793072362,ImagineDragons,"United States",188837000,9100000,566500,100000,328239523,37.09024,-95.712891,2009-08-03,270663028
156,"Diana and Roma ESP",30700000,nan,Entertainment,12355992466,"Diana and Roma ESP","United States",102998000,4900000,309000,200000,328239523,37.09024,-95.712891,2016-11-27,270663028
157,Round2hell,30700000,Comedy,Entertainment,3145161634,Round2hell,India,31822000,1500000,95500,300000,1366417754,20.593684,78.96288,2016-10-20,471031528
158,"Zee News",30500000,"News & Politics",News,16709857823,"Zee News",India,461472000,22200000,1400000,600000,1366417754,20.593684,78.96288,2007-06-19,471031528
159,AboFlah,30500000,Gaming,Entertainment,4521573939,AboFlah,Kuwait,157908000,7600000,473700,1300000,4207083,29.31166,47.481766,2016-07-28,4207083
160,AH,30400000,Entertainment,Entertainment,4332274962,AH,Indonesia,21440000,1000000,64300,nan,270203917,-0.789275,113.921327,2014-01-26,151509724
161,"Trap Nation",30400000,Music,Music,14037426379,"Trap Nation","United States",45822000,2200000,137500,nan,328239523,37.09024,-95.712891,2012-09-23,270663028
162,,30400000,nan,Entertainment,17999961915,,"United States",122926000,5900000,368800,300000,328239523,37.09024,-95.712891,2018-11-03,270663028
163,"Boram Tube Vlog [",30300000,Entertainment,Entertainment,13546549817,"Boram Tube Vlog [","United States",22724000,1100000,68200,nan,328239523,37.09024,-95.712891,2012-02-21,270663028
164,Adele,30200000,Music,Music,14199108016,Adele,"United Kingdom",137099000,6600000,411300,100000,66834405,55.378051,-3.435973,2008-04-04,55908316
166,"| toyoraljanahtv",30200000,Entertainment,Music,27684955537,"| toyoraljanahtv",Jordan,116434000,5600000,349300,100000,10101694,30.585164,36.238414,2008-11-24,9213048
168,"Spinnin' Records",30100000,Music,Music,19607009165,"Spinnin' Records",Netherlands,100040000,4800000,300100,100000,17332850,52.132633,5.291266,2007-07-12,15924729
169,"Little Angel: Nursery Rhymes & Kids Songs",30100000,Education,Education,22593193994,"Little Angel: Nursery Rhymes & Kids Songs","United States",107525000,5200000,322600,nan,328239523,37.09024,-95.712891,2015-12-14,270663028
171,"Shawn Mendes",30000000,Music,Music,12831200855,"Shawn Mendes",Canada,88749000,4300000,266200,nan,36991981,56.130366,-106.346771,2011-01-19,30628482
172,"ashish chanchlani vines",29800000,Comedy,Comedy,4457913639,"ashish chanchlani vines",India,26171000,1300000,78500,100000,1366417754,20.593684,78.96288,2009-07-06,471031528
173,"Ultra Records",29600000,Music,Music,17208027242,"Ultra Records","United States",81884000,3900000,245700,nan,328239523,37.09024,-95.712891,2006-10-24,270663028
